,precision,recall,f1-score,support
246,0.7619047619047619,0.8421052631578947,0.8,19.0
247,0.5483870967741935,0.5666666666666667,0.5573770491803278,30.0
248,0.6857142857142857,0.9230769230769231,0.7868852459016393,26.0
249,0.74,0.6607142857142857,0.6981132075471698,56.0
250,0.46153846153846156,0.8571428571428571,0.6,7.0
251,0.36363636363636365,0.11428571428571428,0.17391304347826086,70.0
252,0.8333333333333334,0.7142857142857143,0.7692307692307693,14.0
253,0.34375,0.4074074074074074,0.3728813559322034,27.0
254,0.6470588235294118,0.8461538461538461,0.7333333333333333,13.0
255,0.65,0.8666666666666667,0.7428571428571429,15.0
256,0.625,0.5555555555555556,0.5882352941176471,9.0
257,0.75,0.9,0.8181818181818182,20.0
258,1.0,0.3333333333333333,0.5,3.0
259,0.8,0.6666666666666666,0.7272727272727273,6.0
260,1.0,0.5,0.6666666666666666,8.0
261,0.5675675675675675,0.75,0.6461538461538462,28.0
accuracy,0.6495144406608652,0.6495144406608652,0.6495144406608652,0.6495144406608652
macro avg,0.6207065933193953,0.6525599266614884,0.623364345534919,7929.0
weighted avg,0.6711713387948768,0.6495144406608652,0.6496679454796047,7929.0
